row,note_id,onset_beat,measure,duration_beat,pitch_spelling,pitch_midi,cadence,cadence_confidence,localkey,localkey_confidence,tonkey,tonkey_confidence,quality,quality_confidence,inversion,inversion_confidence,root,root_confidence,bass,bass_confidence,degree1,degree1_confidence,degree2,degree2_confidence,hrythm,hrythm_confidence,pcset,pcset_confidence,romanNumeral,romanNumeral_confidence,section,section_confidence,phrase,phrase_confidence,organ_point,organ_point_confidence,tpc_in_label,tpc_in_label_confidence,tpc_is_root,tpc_is_root_confidence,tpc_is_bass,tpc_is_bass_confidence,downbeat,downbeat_confidence,note_degree,note_degree_confidence,staff,staff_confidence
14,p0n17,6.0,4,1.0,F#2,54,,0.9142038,G,0.93957084,G,0.93505555,diminished triad,0.3733348,1,0.6914501,D,0.63485736,F#,0.9368961,5,0.56359094,None,0.92199993,True,0.7850038,"{0,2,6,9}",0.33182466,viio,0.30942604,False,0.9460106,False,0.9412989,True,0.58292854,True,0.9293629,False,0.69682723,True,0.8875168,1,0.5501703,7,0.9382729,3,0.50348437
15,p0n16,6.0,4,1.0,A3,69,,0.91044194,G,0.93953496,G,0.935946,diminished triad,0.39062607,1,0.7008561,D,0.63547045,F#,0.9393053,5,0.54383075,None,0.924203,True,0.78411794,"{0,2,6,9}",0.32618508,viio,0.3126746,False,0.94560677,False,0.94096386,True,0.5694981,True,0.9103021,False,0.94156003,False,0.9289779,1,0.54227656,2,0.8738064,3,0.4800522
16,p0n19,7.0,4,1.0,G2,55,,0.89539313,G,0.93678427,G,0.9441607,major triad,0.8919197,0,0.8852741,G,0.9128068,G,0.92293453,1,0.9028633,None,0.9014169,True,0.87363195,"{2,7,11}",0.9051754,I,0.8809979,False,0.9484143,False,0.91304356,True,0.8606824,True,0.9438321,True,0.9287696,True,0.89442384,3,0.3820112,1,0.9419199,0,0.3369057
17,p0n18,7.0,4,1.0,B3,71,,0.8920105,G,0.9368185,G,0.9429189,major triad,0.89287937,0,0.8768068,G,0.9121186,G,0.9251855,1,0.90319395,None,0.90327173,True,0.87774473,"{2,7,11}",0.90843403,I,0.8785004,False,0.9484084,False,0.91716164,True,0.8013963,True,0.94475114,False,0.9582368,False,0.89606017,3,0.3781168,3,0.95128727,2,0.32739836
18,p0n21,8.0,4,1.0,A2,57,,0.9165113,G,0.935493,G,0.92273575,diminished triad,0.42695552,0,0.6468161,A,0.5791834,A,0.8291438,7,0.44961926,None,0.87364024,True,0.9211863,"{0,4,9}",0.38162497,viio,0.38744596,False,0.94445693,False,0.9491796,True,0.8147155,True,0.9305736,True,0.70514715,True,0.8977212,1,0.7566354,2,0.86060095,3,0.45059595
19,p0n20,8.0,4,1.0,C4,72,,0.9166445,G,0.9364052,G,0.9220816,diminished triad,0.43994993,0,0.69583386,A,0.56984085,A,0.8238173,7,0.45791125,None,0.8843598,True,0.9257935,"{0,4,9}",0.3660275,viio,0.3895503,False,0.94438976,False,0.9498689,True,0.7382079,True,0.9071482,False,0.93946934,False,0.9238615,1,0.76813406,4,0.8312413,3,0.42192546
20,p0n23,9.0,5,1.0,A2,57,,0.92024136,G,0.93495417,G,0.9196901,diminished triad,0.36962178,0,0.6420135,F#,0.4321108,A,0.647839,7,0.44728678,None,0.8771645,False,0.5753326,"{0,6,9}",0.4454548,viio,0.3777288,False,0.9475924,False,0.95064765,True,0.7717438,True,0.899313,True,0.6695955,True,0.7638265,2,0.3891977,2,0.69820166,3,0.49472275
21,p0n22,9.0,5,1.0,C4,72,,0.92185354,G,0.93614626,G,0.91985697,diminished triad,0.38740027,0,0.6774411,F#,0.451105,A,0.6337,7,0.45039108,None,0.88777256,False,0.5736232,"{0,6,9}",0.45086992,viio,0.36966246,False,0.94783896,False,0.95085096,True,0.7536183,True,0.86346585,False,0.9316776,False,0.90857524,2,0.39173922,4,0.78287274,3,0.45804107
22,p0n25,10.0,5,1.0,G2,55,,0.8612396,G,0.9366666,G,0.93986267,major triad,0.90265185,0,0.90115076,G,0.90288305,G,0.9344971,1,0.8926417,None,0.8975519,True,0.9117509,"{2,7,11}",0.90111774,I,0.881544,False,0.9466504,False,0.8713007,True,0.8839873,True,0.94118005,True,0.93085784,True,0.9102559,3,0.36725098,1,0.92645603,0,0.3108275
23,p0n24,10.0,5,1.0,B3,71,,0.85696924,G,0.9363313,G,0.93922263,major triad,0.8993532,0,0.88922304,G,0.90208477,G,0.9359371,1,0.8914218,None,0.89967513,True,0.9088366,"{2,7,11}",0.9043396,I,0.8794204,False,0.9474764,False,0.8759821,True,0.84275043,True,0.94791585,False,0.961596,False,0.93701583,3,0.36711177,3,0.9593184,2,0.3177526
